,dataid,status,foundation_pier_beam,foundation_slab,spend_time_at_home_none,spend_time_at_home_monday,spend_time_at_home_tuesday,spend_time_at_home_wednesday,spend_time_at_home_thursday,spend_time_at_home_friday,ethnicity_asian_pacific_islander,ethnicity_black_african_american,ethnicity_caucasian_other_than_hispanic_or_latino,ethnicity_hispanic_or_latino,ethnicity_native_american_alaska_native,ethnicity_other,ethnicity_decline,residents_under_5,residents_6_to_12,residents_13_to_18,residents_19_to_24,residents_25_to_34,residents_35_to_49,residents_50_to_64,residents_65_and_older,education_level,total_annual_income,pv_system_own,pv_system_size,pv_system_reason,pv_system_satisfied,pv_system_features_liked,pv_system_surprising_features,pv_system_questions_asked,pv_neg_factors_too_expensive,pv_neg_factors_uncertainty,pv_neg_factors_ugly,pv_neg_factors_resale_value_concerns,pv_neg_factors_none,pv_neg_factors_other,pv_pos_factors_independence,pv_pos_factors_no_emissions,pv_pos_rate_increase_protection,pv_pos_factors_none,pv_pos_factors_other,additional_solar_future,additional_solar_size,retrofits,retrofits_weather,hvac_sealed_duct_leak,energy_efficient_windows,new_hvac,added_space,new_dishwasher,new_clotheswasher,new_clothesdryer,new_refrigerator,new_oven,other_changes,hvac_central_air_gas_furnace,hvac_central_air_electric_heating,heat_pump_split,hvac_geothermal_heat_pump,hvac_window_unit_ac,hvac_ductless_minisplit,hvac_no_ans,ac_compressor_num,temp_setting_weekday_workday_sumr,temp_setting_weekday_morning_sumr,temp_setting_weekday_evening_sumr,temp_setting_weekday_sleeping_hr_sumr,temp_setting_weekend_daylight_sumr,temp_setting_weekday_workday_wintr,temp_setting_weekday_morning_wintr,temp_setting_weekday_evening_wintr,temp_setting_sleeping_hr_wintr,temp_setting_weekend_daylight_wintr,thermostat_brand,thermostat_is_programmable,thermostat_programming_level,any_annual_ac_svc,electronic_device_cable_box_number,electronic_device_dvr_number,electronic_device_router_number,electronic_device_gaming_sys_number,electronic_device_other,water_heater_type,water_heater_type_other,any_electric_vehicle,electric_vehicle_year,electric_vehicle_make,electric_vehicle_model,vehicle_chargn_home,vehicle_chargn_level2ev,vehicle_chargn_public,vehicle_chargn_work,vehicle_chargn_work_avail,vehicle_chargn_time,electric_vehicle_satisfied,electric_vehicle_features_liked,electric_vehicle_buy_reason_envir,electric_vehicle_buy_reason_save_money,electric_vehicle_buy_reason_new_tech_interest,electric_vehicle_buy_reason_performance,electric_vehicle_buy_reason_quietness,electric_vehicle_buy_reason_other_recommended,electric_vehicle_buy_again,any_family_frnd_living,any_family_frnd_living_details,have_dishwasher,have_clotheswasher_front_load,have_clotheswasher_top_load,have_water_softner,have_icemaker,have_swimming_pool,have_hot_tub,have_outdoor_sprinkler,have_landscape_water_feature,have_automated_drip_irrigation,have_water_garden,have_other_water_using_appliance,water_activity_watering_plants,water_activity_wash_vehicle,water_activity_wash_house_exterior,water_activity_other,water_line_broke_by_u,water_line_broke_by_someone,water_line_broke_by_u2,water_line_broke_by_someone2,low_level_water_leak_discovered_by_u,low_level_water_leak_discovered_by_someone,continuous_water_flow_discovered_by_you,continuous_water_flow_discovered_by_someone,continuous_water_flow_discovered_by_u2,continuous_water_flow_discovered_by_someone2,water_leak_caused_financial_cost,collect_water_rain,collect_water_rain_way,collect_water_rain_way_other,any_water_utility_prog_particiaption_no,any_water_utility_prog_particiaption_yes_rebates,any_water_utility_prog_particiaption_yes_coupons,any_water_utility_prog_particiaption_yes_consults,any_water_utility_prog_particiaption_other,any_water_utility_prog_particiaption_other2,any_irrigation_audit,any_water_conserve_prog,any_water_conserve_prog_useful,energy_saving_led,energy_saving_attic_insulation,energy_saving_efficient_windows,energy_saving_efficient_furnace,energy_saving_efficient_ac,energy_saving_efficient_water_heater,energy_saving_efficient_thermostat,energy_saving_add_caulking,energy_saving_replace_showerhead,energy_saving_renewable_sys,energy_saving_other,energy_spending_general_approach1,energy_spending_general_approach2,energy_spending_general_approach3,energy_development_oil,energy_development_wind,energy_development_natural_gas,energy_development_natural_gas_shale,energy_development_nuclear,energy_development_coal,energy_development_solar,energy_development_hydropower,energy_development_bioenergy,can_reduce_energy_consumption,know_steps_reduce_energy_consumption,cannot_reduce_energy_consumption,individual_responsible_energy_reduce,energy_reduce_regulation,energy_reduce_risky,can_lower_energy_use,energy_reduce_other_ways
113,4313,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,2,0,0,0,1,0,College graduate,"$100,000 - $149,999",No,,,,,,,Too expensive,Not sure how much I would benefit,,,,May not be allowed by HOA,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",Sealed duct leaks on HVAC system,Installed more energy efficient windows,,,,Installed a new clothes-washer,,,,Solar powered attic vent,Split system with gas furnace,,,,,,,2,75,76,74,73,75,74,75,70,68,74,Filtrete 3M WiFi (Radio Thermostat),Yes,Easy,No,2,None,1,None,PC,Gas - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),Swimming pool,Hot tub,Outdoor sprinkler system,Landscape water feature with water pump,,,,Hand watering plants,,,,You,Someone you know,,,,Someone you know,You,,,,"It was a friend a few blocks away. I don't know the details and it was a number of years ago.  They were planning on selling the home but after the incident was repaired, they decided to stay.",No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Slightly disagree,Neither,Neither,Strongly support,Strongly support,Strongly support,Strongly support,Slightly support,Neither,Strongly support,Strongly support,Slightly support,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Strongly disagree,Neither,Slightly disagree,"Already replaced all bulbs (an there were many) with either LED or to a lesser extent Florescent.  Also replaced large windows on the West side of home with low e glass. Installed WiFi Thermostats. Already have Gas heat, water, and stove.   Oil and Gas prices are also very low and will be for quite some time. I believe there is little more the U.S. can do to offset the pollution coming from regions such as China and India. "
114,4321,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,0,2,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,Can't attach to our type of roof (Spanish-type tile),Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,Sealed duct leaks on HVAC system,Installed more energy efficient windows,,,,,,,Installed a new  range/oven,,Split system with gas furnace,,,,,,,3,73,73,73,78,73,68,68,68,65,68,Honeywell,Yes,Easy,No,1,None,1,None,None,Other - Write In,2 gas- tanks,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,Landscape water feature with water pump,,Water garden or pond,,,,Pressure washing exterior structures or sidewalks,,You,,,,You,,You,,,,1. Sprinkler system developed leak- caused area beyond it to get too dry. Lost one large tree. 2. Free-standing ice maker leaked under flooring- Had to replace and refinish hardwood floors.,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,,,,Strongly agree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Strongly oppose,Slightly support,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly disagree,Slightly agree,Strongly disagree,Slightly agree,Neither,Strongly disagree,Slightly agree,
115,4336,Complete,,Slab,none,,,,,,,,Caucasian,,,,,,2,,,,2,,,College graduate,,Yes,3,help the environment  made financial sense with rebates from city and Pecan Street,Somewhat satisfied,saves money; associated home energy monitoring system helps optimize energy use,sturdiness,value for money,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,78,78,68,68,68,68,68,,Yes,Moderately difficult,No,1,None,1,None,,Gas - tankless,,Yes,2012,Telsa,Model S,100%,0%,0%,0%,Yes,I have pre-set a delayed charge through my vehicle's telematics service (e.g. OnStar for Volts and CarWings for Leafs),Very satisfied,Impressive technology,Environmental benefit,,Interest in new technologies,Acceleration and performance of EVâ€™s,,,Yes,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,Automated drip irrigation,,,Hand watering plants,Hand washing vehicles,,,,,You,,,Someone you know,You,,,,"our renter at another property removed the washing machine and did not fully turn off the water supply, leaving water damage throughout that part of the house",Yes,Rain barrel,,No,,,,,,No,Yes,Dropcountr,Replace incandescent lighting with LED light bulbs,,,,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Neither,Slightly oppose,Slightly support,Slightly oppose,Strongly support,Slightly support,Slightly support,Slightly agree,Slightly agree,Slightly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,
116,4336,Complete,,Slab,none,,,,,,,,Caucasian,,,,,,2,,,,2,,,College graduate,,Yes,3.3,"with incentives, would pay for itself quickly; like the idea of moving away from fossil fuels",Somewhat satisfied,reduces Energy bill - Energy monitoring tools included,usefulness of Energy monitoring,,,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,78,78,68,68,68,68,68,,Yes,Moderately difficult,No,None,None,2,None,,Gas - tankless,,Yes,2012,Telsa,Model S,100%,0%,0%,0%,Yes,I have pre-set a delayed charge through my vehicle's telematics service (e.g. OnStar for Volts and CarWings for Leafs),Very satisfied,Impressive technology,Environmental benefit,,Interest in new technologies,Acceleration and performance of EVâ€™s,,,Yes,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,Automated drip irrigation,,,Hand watering plants,Hand washing vehicles,,,You,,You,,,Someone you know,You,,,,,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Neither,Slightly oppose,Neither,Slightly oppose,Strongly support,Slightly support,Neither,Neither,Slightly agree,Slightly disagree,Slightly agree,Neither,Strongly disagree,Slightly agree,
117,4378,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,2,,,,2,,,College graduate,"$100,000 - $149,999",No,,,,,,,,,,,,Concerned about punctures into shingle roof; awaiting lifespan of shingle roof to switch to standing seam and install solar panel at the same time,,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,Sealed duct leaks on HVAC system,,,,,Installed a new clothes-washer,Installed a new clothes-dryer,,,,Split system with gas furnace,,,,,,,1,80,76,75,72,77,72,74,76,73,74,nest,Yes,Easy,Yes,None,None,1,None,"4 plug-in lamps are connected to wifi enabled lighting controls, which are pulling electricity all the time; our tvs and roku are plugged in all the time, though not on; our computer is plugged in all the time, and times out to 'sleep' mode when not in use after 15 minutes",Gas - tankless,,Yes,2016,bmw,i3,0%,10%,5%,85%,Yes,When I arrive home,Somewhat satisfied,"Power, speed, performance",Environmental benefit,Saving money on gasoline,Interest in new technologies,Acceleration and performance of EVâ€™s,Quietness,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,Hand washing vehicles,,soaker hose,,Someone you know,,Someone you know,,Someone you know,You,Someone you know,,Someone you know,The pipes in our neighborhood are older (orangeburg?) and are slowly being replaced as older tree roots also cause damage. ,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,Install a smart thermostat,,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Neither,Slightly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Slightly support,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Neither,Strongly disagree,Strongly agree,"negatives in agree/neither/disagree questions can be confusing, esp when immediate next statement is opposite (ref question 45, 1st and 2nd statements)."
118,4473,Complete,Pier and beam,,none,,,,,,,,Caucasian,,,,,,,,,1,1,,,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,We rent our home but if we owned it we couldn\'t get rooftop PV because of all the tree coverage.,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,,,,Installed new HVAC system,,,,,,,,Split system with gas furnace,,,,,,,1,84,75,77,73,77,62,68,68,64,68,Nest,Yes,Easy,Yes,None,None,1,None,"We leave a living room light on for the dogs in case we don't make it home from work before dark, Roku, Echo dot",Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,,,,,,,,,,You,,,,,No,,,No,,,,,,No,No,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Slightly oppose,Slightly support,Slightly support,Slightly oppose,Slightly oppose,Slightly oppose,Strongly support,Strongly support,Slightly support,Slightly agree,Strongly agree,Slightly disagree,Slightly agree,Slightly agree,Strongly disagree,Slightly agree,
119,4591,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,,1,Postgraduate degree,"$20,000 - $34,999",No,,,,,,,,,,,,homeowner\'s assn doesn\'t allow them,Independence from the utility,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,76,76,76,76,76,68,68,68,68,68,carrier,Yes,Easy,Yes,,,1,,no,Gas - tank,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,No,Yes,,Replace incandescent lighting with LED light bulbs,,Install high-efficiency windows,,,,Install a smart thermostat,,Replace showerhead with water-efficient model,,,Slightly disagree,Slightly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Slightly support,Neither,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,Slightly disagree,Strongly disagree,Slightly agree,
120,4633,Complete,Pier and beam,,none,,,,,,,,Caucasian,,,,,,,,,,,1,,Postgraduate degree,"$50,000 - $74,999",No,,,,,,,,,,,,Too much shade on roof,,Emission-free electricity,,,,No,,No,,,,,,,,,,,,,,Heat Pump,,,,,1,77,77,77,75,77,70,70,70,67,70,Carrier,No,Easy,No,None,None,1,None,"I turn on a light (3W LED) in a nook under the stairs at night when I go to bed. Sometimes I forget to turn off my office strip, so my printer stays on.",Other - Write In,Heat pump hybrid,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,,,,,,,Someone you know,,,You,,,,"A friend's father had a huge water leak at the house while he wasn't even living there. The bill for one month was hundreds, perhaps over a thousand dollars. The problem continues. The City insists that there is no leak in the water line even though there is no one at the house and the irrigation system is turned off.",No,,,,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,,,Slightly disagree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly oppose,Slightly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Neither,Slightly disagree,Strongly agree,Slightly disagree,Strongly agree,Strongly agree,Strongly disagree,Slightly agree,"Q 37. I assumed that you only meant retrofits. I paid extra to have some of the energy-efficient features listed in my new home.  Q 40. Regulation is the most important tool for reducing energy use. If by regulation you mean appliance standards and stringent residential energy codes, then I agree with the statement. If you mean forcing people to change their thermostat settings or change out their lightbulbs, then I do not agree. I also wonder whether effective should be used in place of  important. When I read the question as written, I am wondering whether you are asking if we think that regulation will work or if we want regulation to be used."
121,9237,Complete,,,,Monday,,,,Friday,,,Caucasian,,,,,,,,1,,,2,,Postgraduate degree,"$50,000 - $74,999",No,,,,,,,Too expensive,,,,,,,Emission-free electricity,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,79,79,79,79,80,80,80,80,80,honeywell,Yes,Very difficult,No,None,None,,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,,Clothes washing machine that is top loading,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,,,,Replace showerhead with water-efficient model,,,Strongly agree,Strongly agree,Strongly agree,Neither,Strongly support,Strongly support,Neither,Slightly support,Strongly support,Strongly support,Strongly support,Strongly support,Neither,Slightly agree,Strongly disagree,Strongly agree,Strongly disagree,Slightly agree,,
122,4670,Complete,,Slab,none,,,,,,Asian/Pacific Islander,,,,,,,,,,1,,,1,,College graduate,,Yes,4.25,I believed transition to renewable energy is important and wanted to be part of the effort. ,Somewhat satisfied,Dependable system with no regular maintenance required. It has been producing more than I consumed since the installation.,It has been producing electricity more than I consumed since the installation in total.,"Hail damage - panels are typically far stronger than composition roof materials. (However...after going through trouble for removing my system, replacing the roof, and reinstalling the system last year, I wish I won't have to do that any more. Metal roof was cost prohibitive in our area. )",,,,,,,,,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,2,84,82,80,90,80,66,68,68,64,66,Honeywell,Yes,Easy,No,None,None,2,None,Refrigerator in the kitchen. I can't think of anything else that on most of the time.,Gas - tank,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,Automated drip irrigation,,,,,,n/a,,,You,Someone you know,,,You,Someone you know,You,,Mine was for the irrigation system. Base of the drip in the side yard garden was cracked and I did not notice until I got the big bill. Someone I knew had upstair toilet connector crack. The who downstairs were damaged as they were away on vacation.,No,,,,,,,,Used rebates several years ago.,No,Yes,"Drip irrigation, rainwater harvesting (I no longer do this though)",Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,,,Replace showerhead with water-efficient model,Install a renewable energy system )e.g. PV solar cells and battery storage),,Slightly disagree,Slightly agree,Slightly agree,Strongly oppose,Strongly support,Slightly oppose,Strongly oppose,Slightly oppose,Strongly oppose,Strongly support,Slightly support,Neither,Strongly agree,Strongly agree,Strongly disagree,Neither,Neither,Slightly disagree,Slightly disagree,Above answers for Q44 might be not relevant as I had already reduced the consumption to pretty low level. I will not change my behavior until I get my first EV.
123,4699,Complete,,Slab,,Monday,,,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,0,2,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,We are installing now,Independence from the utility,Emission-free electricity,,,,Yes,6.175kW,Yes,,,,,,,Installed a new clothes-washer,Installed a new clothes-dryer,,,,,,,,,,,1,73,73,74,74,73,70,73,70,65,71,Nest,Yes,Easy,No,2,None,1,None,2 night lights paper shredder ,Gas - tankless,,No,,,,,,,,No,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,,,,You,,You,,,,You,,,Someone you know,Pipes broke under pier and beam home during winter freezes,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,,,,,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Slightly agree,Strongly oppose,Strongly support,Neither,Neither,Strongly oppose,Strongly oppose,Strongly support,Neither,Slightly support,Slightly disagree,Strongly agree,Slightly agree,Strongly agree,Slightly disagree,Strongly disagree,Slightly agree,
124,4761,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,0,0,0,0,0,0,1,1,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,How rules,,,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,,78,78,78,64,64,64,64,64,Don't know,No,Haven't tried,No,1,1,1,None,,Gas - tankless,,No,,,,,,,,I work from home,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,,,,,,,,,,,,Strongly agree,Strongly agree,Strongly agree,Slightly oppose,Strongly support,Neither,Slightly oppose,Strongly support,Strongly oppose,Strongly support,Neither,Strongly support,Neither,Slightly agree,Slightly agree,Slightly disagree,Neither,Strongly disagree,Neither,
125,4813,Partial,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,1,,,2,,College graduate,"$150,000 - $299,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,4830,Complete,,Slab,none,,,,,,,,Caucasian,,,,,,2,,,,2,,,Postgraduate degree,"$150,000 - $299,000",Yes,4kW,Environmental concerns and cost.,Somewhat satisfied,Generating renewable energy,"It's leased, so we did not have to pay to install it.","Cost, how the lease agreement works. ",,,,,,,,,,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,68,68,68,68,68,Unknown,No,,No,1,None,2,None,"Two computers, in-home audio system, pumps for in-floor radiant heat. ",Gas - tank,,Yes,2013,Nissan,Leaf,0%,100%,0%,0%,Yes,When I arrive home,Very satisfied,Environmental and societal benefits,Environmental benefit,Saving money on gasoline,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,Install a renewable energy system )e.g. PV solar cells and battery storage),,Strongly agree,Slightly agree,Strongly agree,Slightly oppose,Strongly support,Slightly oppose,Strongly oppose,Neither,Strongly oppose,Strongly support,Slightly support,Neither,Slightly agree,Slightly agree,Strongly disagree,Strongly disagree,Slightly agree,Strongly disagree,Strongly disagree,
127,4894,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,1,,,,,2,,,Postgraduate degree,"$75,000 - $99,999",No,,,,,,,Too expensive,Not sure how much I would benefit,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,76,76,76,76,76,71,71,71,71,71,Honeywell,No,Easy,Yes,None,None,1,None,,Gas - tank,,No,,,,,,,,No,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,,,,,,,Hand watering plants,,,,,,,,,,,,,Someone you know,My grandparents did not realize that the downstairs shower was slightly on for 2 weeks.  This created a water bill that was a couple hundred more than expected.,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,,,,,,Slightly disagree,Slightly disagree,Slightly disagree,Slightly oppose,Slightly support,Slightly support,Slightly support,Strongly support,Slightly oppose,Strongly support,Strongly support,Neither,Slightly disagree,Slightly disagree,Slightly agree,Neither,Slightly disagree,Slightly disagree,Slightly disagree,
128,4928,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,,,Caucasian,,,,,,,,,,,2,,Postgraduate degree,"$75,000 - $99,999",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,Yes,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,1,78,78,78,78,78,63,63,63,63,63,,I don't know,Haven't tried,No,None,1,1,None,kitchen light and radio when house is vacant,Gas - tank,,Yes,2007,EVT,electric scooter,100%,0%,0%,0%,No,When I arrive home,Very satisfied,Not buying gasoline,Environmental benefit,,,,,,No,No,,,Clothes washing machine that is front loading,,,Automatic ice maker (in your freezer),,Hot tub,,,,,,,,,,You,,,,,,You,,,,,Yes,Rain barrel,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,,,,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Slightly disagree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly agree,
129,4944,Complete,Pier and beam,,none,,,,,,,,Caucasian,,,,,0,0,0,0,0,0,1,0,Postgraduate degree,"$100,000 - $149,999",No,,,,,,,,,,,,Trees would interfere,Independence from the utility,Emission-free electricity,Protection against future utility rate increases,,,No,,Yes,"Weatherized home: improved/added exterior or attic insulation, installed weather-stripping on doors, added storm doors, etc.",Sealed duct leaks on HVAC system,Installed more energy efficient windows,,,,,,,,,Split system with gas furnace,,,,,,,1,78,77,78,77,78,68,68,67,68,68,Honeywell,Yes,Easy,Yes,1,None,1,None,Two radios are left on during the day to simulate someone at home and deter burglaries,Gas - tankless,,No,,,,,,,,Yes,,,,,,,,,,No,No,,Dishwashing machine,Clothes washing machine that is front loading,,,,,,,,,,,Hand watering plants,,,,You,,,Someone you know,,Someone you know,,,You,,"Water heater valve failed while I was on vacation; when I returned, the wood floors were ruined and the water had run several days.",No,,,No,,,,,,No,Yes,personal research,Replace incandescent lighting with LED light bulbs,Install extra attic insulation,Install high-efficiency windows,Install high-efficiency furnace,Install high-efficiency air conditioner,Install a high-efficiency tankless water heater,Install a smart thermostat,Add caulking or weather stripping around your windows and/or doors,Replace showerhead with water-efficient model,,,Strongly agree,Strongly agree,Strongly agree,Strongly oppose,Strongly support,Slightly oppose,Strongly oppose,Slightly oppose,Strongly oppose,Strongly support,Strongly support,Strongly support,Slightly disagree,Strongly agree,Neither,Slightly disagree,Neither,Strongly disagree,Strongly agree,
130,4956,Complete,,Slab,,Monday,Tuesday,Wednesday,Thursday,Friday,Asian/Pacific Islander,,,,,,,,2,,,,2,,,Postgraduate degree,"$150,000 - $299,000",No,,,,,,,Too expensive,,,,,,Independence from the utility,Emission-free electricity,,,,No,,No,,,,,,,,,,,,Split system with gas furnace,,,,,,,2,79,81,78,79,79,68,68,68,67,68,Nest,Yes,Easy,No,None,None,3,5 or more,Philips Hue light bulbs are on a schedule. Nest Cam / Dropcam used for video monitoring.,Gas - tank,,No,,,,,,,,Yes,,,,,,,,,,Yes,No,,Dishwashing machine,Clothes washing machine that is front loading,,Water softener,Automatic ice maker (in your freezer),,,Outdoor sprinkler system,,,,,Hand watering plants,Hand washing vehicles,,,,,,,,,,,,,,No,,,No,,,,,,No,No,,Replace incandescent lighting with LED light bulbs,,,,,,Install a smart thermostat,,,,,Strongly agree,Slightly agree,Slightly agree,Slightly oppose,Strongly support,Slightly oppose,Slightly oppose,Strongly oppose,Strongly oppose,Strongly support,Strongly support,Slightly support,Slightly agree,Slightly agree,Slightly disagree,Slightly disagree,Slightly disagree,Slightly disagree,Strongly agree,
